# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4000670139999999994
# total_verified=274510000000000
# total_total=274510000000000
# total_tries=4198679088996
# total_qhot=274363193529897
# total_misses=0
# elapsed_sec=300884.307460
N,p,q,source
4000669939999999996,3,4000669939999999993,SIEVE
4000669939999999998,5,4000669939999999993,QHOT
4000669940000000000,7,4000669939999999993,QHOT
4000669940000000002,83,4000669939999999919,SIEVE
4000669940000000004,11,4000669939999999993,QHOT
4000669940000000006,13,4000669939999999993,QHOT
4000669940000000008,89,4000669939999999919,QHOT
4000669940000000010,17,4000669939999999993,QHOT
4000669940000000012,19,4000669939999999993,QHOT
4000669940000000014,197,4000669939999999817,SIEVE
4000669940000000016,199,4000669939999999817,QHOT
4000669940000000018,67,4000669939999999951,SIEVE
4000669940000000020,101,4000669939999999919,QHOT
4000669940000000022,71,4000669939999999951,QHOT
4000669940000000024,73,4000669939999999951,QHOT
4000669940000000026,107,4000669939999999919,QHOT
4000669940000000028,211,4000669939999999817,QHOT
4000669940000000030,79,4000669939999999951,QHOT
4000669940000000032,113,4000669939999999919,QHOT
4000669940000000034,83,4000669939999999951,QHOT
4000669940000000036,43,4000669939999999993,QHOT
4000669940000000038,419,4000669939999999619,SIEVE
4000669940000000040,421,4000669939999999619,QHOT
4000669940000000042,19,4000669940000000023,SIEVE
4000669940000000044,227,4000669939999999817,QHOT
4000669940000000046,23,4000669940000000023,QHOT
4000669940000000048,97,4000669939999999951,QHOT
4000669940000000050,431,4000669939999999619,QHOT
4000669940000000052,29,4000669940000000023,QHOT
4000669940000000054,31,4000669940000000023,QHOT
4000669940000000056,239,4000669939999999817,QHOT
4000669940000000058,439,4000669939999999619,QHOT
4000669940000000060,37,4000669940000000023,QHOT
4000669940000000062,443,4000669939999999619,QHOT
4000669940000000064,41,4000669940000000023,QHOT
4000669940000000066,43,4000669940000000023,QHOT
4000669940000000068,449,4000669939999999619,QHOT
4000669940000000070,47,4000669940000000023,QHOT
4000669940000000072,79,4000669939999999993,QHOT
4000669940000000074,257,4000669939999999817,QHOT
4000669940000000076,53,4000669940000000023,QHOT
