# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4001000000000000000
# total_verified=439440000000003
# total_total=439440000000003
# total_tries=4843729688398
# total_qhot=439270668360167
# total_misses=0
# elapsed_sec=468998.388662
N,p,q,source
4000945139999999996,439,4000945139999999557,SIEVE
4000946120019527676,47,4000946120019527629,SIEVE
4000947120019527676,3,4000947120019527673,SIEVE
4000948120019527676,229,4000948120019527447,SIEVE
4000949120019527676,47,4000949120019527629,SIEVE
4000950120019527676,569,4000950120019527107,SIEVE
4000951120019527676,109,4000951120019527567,SIEVE
4000952120019527676,5,4000952120019527671,SIEVE
4000953120019527676,167,4000953120019527509,SIEVE
4000954120019527676,883,4000954120019526793,SIEVE
4000955120019527676,5,4000955120019527671,SIEVE
4000956120019527676,5,4000956120019527671,SIEVE
4000957120019527676,37,4000957120019527639,SIEVE
4000958120019527676,13,4000958120019527663,SIEVE
4000959120019527676,173,4000959120019527503,SIEVE
4000960120019527676,43,4000960120019527633,SIEVE
4000961120019527676,29,4000961120019527647,SIEVE
4000962120019527676,179,4000962120019527497,SIEVE
4000963120019527676,109,4000963120019527567,SIEVE
4000964120019527676,5,4000964120019527671,SIEVE
4000965120019527676,167,4000965120019527509,SIEVE
4000966120019527676,139,4000966120019527537,SIEVE
4000967120019527676,197,4000967120019527479,SIEVE
4000968120019527676,53,4000968120019527623,SIEVE
4000969120019527676,19,4000969120019527657,SIEVE
4000970120019527676,97,4000970120019527579,SIEVE
4000971120019527676,137,4000971120019527539,SIEVE
4000972120019527676,3,4000972120019527673,SIEVE
4000973120019527676,103,4000973120019527573,SIEVE
4000974120019527676,167,4000974120019527509,SIEVE
4000975120019527676,379,4000975120019527297,SIEVE
4000976120019527676,23,4000976120019527653,SIEVE
4000977120019527676,167,4000977120019527509,SIEVE
4000978120019527676,19,4000978120019527657,SIEVE
4000979120019527676,5,4000979120019527671,SIEVE
4000980120019527676,47,4000980120019527629,SIEVE
4000981120019527676,3,4000981120019527673,SIEVE
4000982120019527676,37,4000982120019527639,SIEVE
4000983120019527676,53,4000983120019527623,SIEVE
4000984120019527676,97,4000984120019527579,SIEVE
4000985120019527676,59,4000985120019527617,SIEVE
4000986120019527676,5,4000986120019527671,SIEVE
4000987120019527676,19,4000987120019527657,SIEVE
4000988120019527676,47,4000988120019527629,SIEVE
4000989120019527676,17,4000989120019527659,SIEVE
4000990120019527676,37,4000990120019527639,SIEVE
4000991120019527676,19,4000991120019527657,SIEVE
4000992120019527676,5,4000992120019527671,SIEVE
4000993120019527676,103,4000993120019527573,SIEVE
4000994120019527676,37,4000994120019527639,SIEVE
4000994539999999996,29,4000994539999999967,SIEVE
