# original_start=4000000000000000000
# original_end=4000000000000100000
# adjusted_start=4000000000000000000
# adjusted_end=4000000000000100000
# p_anchor_limit=100000
# qhot_size=1024
N,p,q
4000000000000000000,113,3999999999999999887
4000000000000000002,211,3999999999999999791
4000000000000000004,313,3999999999999999691
4000000000000000006,509,3999999999999999497
4000000000000000010,127,3999999999999999883
4000000000000000012,251,3999999999999999761
4000000000000000016,1213,3999999999999998803
4000000000000000118,769,3999999999999999349
4000000000000000132,11,4000000000000000121
4000000000000000142,73,4000000000000000069
4000000000000000186,17,4000000000000000169
4000000000000000244,97,4000000000000000147
4000000000000000394,43,4000000000000000351
4000000000000000498,11,4000000000000000487
4000000000000000538,271,4000000000000000267
4000000000000001236,3,4000000000000001233
4000000000000001408,109,4000000000000001299
4000000000000001686,383,4000000000000001303
4000000000000001954,37,4000000000000001917
4000000000000002136,53,4000000000000002083
4000000000000003358,31,4000000000000003327
4000000000000003474,23,4000000000000003451
4000000000000004192,61,4000000000000004131
4000000000000004446,317,4000000000000004129
4000000000000004656,167,4000000000000004489
4000000000000004866,29,4000000000000004837
4000000000000005044,7,4000000000000005037
4000000000000006852,131,4000000000000006721
4000000000000007006,97,4000000000000006909
4000000000000007062,29,4000000000000007033
4000000000000007158,17,4000000000000007141
4000000000000007162,73,4000000000000007089
4000000000000010066,223,4000000000000009843
4000000000000010872,3,4000000000000010869
4000000000000011914,163,4000000000000011751
4000000000000015486,17,4000000000000015469
4000000000000015744,107,4000000000000015637
4000000000000021006,23,4000000000000020983
4000000000000023332,163,4000000000000023169
4000000000000030748,487,4000000000000030261
4000000000000037564,7,4000000000000037557
4000000000000041154,3,4000000000000041151
4000000000000046296,29,4000000000000046267
4000000000000049062,389,4000000000000048673
4000000000000057394,67,4000000000000057327
4000000000000058818,11,4000000000000058807
4000000000000061942,151,4000000000000061791
4000000000000066858,197,4000000000000066661
4000000000000067452,269,4000000000000067183
4000000000000069796,103,4000000000000069693
4000000000000085198,199,4000000000000084999
4000000000000089776,7,4000000000000089769
4000000000000093976,193,4000000000000093783
